final_value,cagr,max_drawdown,sharpe,win_rate
2553181.615193295,0.20619171669314484,-0.073123644764112,1.3452498779294602,0.5294117647058824
2590263.945216423,0.2096752751824449,-0.1023685177068597,1.3537821238639958,0.5555555555555556
2103689.8169742352,0.16036959612880253,-0.10097801582571853,0.9511310858205441,0.48366013071895425
4326199.400077821,0.3403595300398361,-0.06369750735218954,1.7137408360529056,0.5490196078431373
3743014.9425464794,0.3020999198642462,-0.05481621548827554,1.5144559017576376,0.5490196078431373
4448502.094957668,0.3478537146710521,-0.036737526735517674,1.6928480890339561,0.5816993464052288
2298636.0275450633,0.18112004989588204,-0.131665506316062,1.337488113436961,0.5294117647058824
3366930.755365821,0.2748140372787822,-0.06453310721127155,1.6186882297803422,0.5163398692810458
3593384.4758244255,0.2915188151086079,-0.053036741103608176,1.6400137630145075,0.5555555555555556
3088201.113191656,0.25297127600619396,-0.07334699898249482,1.3277470076795999,0.5098039215686274
2751228.208834755,0.2243492601820345,-0.0791809665419532,1.6477413721207441,0.5098039215686274
3254933.035583169,0.2662177920137476,-0.09155021121449601,1.5831461497841106,0.5294117647058824
2813753.5250032297,0.22986434317849613,-0.054256477455602095,1.6740805587471828,0.5686274509803921
3076233.918488593,0.2519986808146637,-0.09549509912756755,1.2805620357280871,0.4444444444444444
7388309.166063798,0.4917945357926663,-0.05450276954524895,1.9692458667302488,0.5424836601307189
2011426.4663990221,0.1500079219779289,-0.07514067463935063,1.3278010812134071,0.49673202614379086
3305364.871719334,0.27011744608245136,-0.0712295959069554,1.3701102870611992,0.5686274509803921
3103936.3546201563,0.2542455288297534,-0.09204576815058246,1.3696200382672317,0.5424836601307189
2410815.166659453,0.19242969581099234,-0.09297197045937215,1.2211468835574313,0.48366013071895425
1184127.1108308171,0.03437892854377167,-0.1685727567236447,0.4070174745027483,0.38562091503267976
8676332.170165248,0.5405196208740077,-0.059881671897633805,2.142885867101163,0.5751633986928104
2850356.334289713,0.23304756885646327,-0.045076059549223196,1.2927862498318576,0.49019607843137253
4458154.507096512,0.34843812543328045,-0.05475912959398596,1.5249625285879438,0.5686274509803921
2529536.1865980513,0.20394924670134307,-0.08070988350514767,1.5369671337066428,0.5228758169934641
2134397.61582128,0.16373759720672232,-0.1135632951539625,1.4531847679372685,0.5228758169934641
6379030.000070554,0.44860816557721384,-0.06326097420206779,1.8805837338006413,0.5620915032679739
3606519.3635931797,0.29246161461939524,-0.07506880770588202,1.6264819852221937,0.5555555555555556
2597100.9781404757,0.21031319251702674,-0.0982524895751924,1.5554474868009684,0.5032679738562091
