ticker,tier,entry_date,entry_price,exit_date,exit_price,return_pct,pnl_dollars,hold_days,exit_reason
LRCX,qvm,2017-10-02,16.5286,2017-12-04,16.0655,-2.8,-2801.82,63,trailing_stop
LRCX,qvm,2018-01-02,16.8712,2018-02-02,15.9603,-5.4,-5384.26,31,trailing_stop
AMAT,qvm,2018-01-02,48.3743,2018-02-05,44.0603,-8.92,-8892.84,34,trailing_stop
CPRT,qvm,2018-04-02,12.45,2018-09-19,13.895,11.61,11408.21,170,trailing_stop
META,qvm,2018-04-02,154.1801,2018-07-26,174.8876,13.43,13201.33,115,trailing_stop
PYPL,qvm,2018-04-02,74.6012,2018-07-02,83.4439,11.85,11650.9,91,qvm_rebalance
ADBE,qvm,2018-04-02,212.28,2018-11-19,219.69,3.49,3431.06,231,trailing_stop
ANET,qvm,2018-04-02,15.8444,2018-07-02,16.335,3.1,3043.64,91,qvm_rebalance
LRCX,qvm,2018-04-02,17.324,2018-06-15,16.0287,-7.48,-7349.25,74,trailing_stop
APO,qvm,2018-04-02,22.7315,2018-07-02,25.5813,12.54,12322.86,91,qvm_rebalance
LRCX,qvm,2018-07-02,15.5471,2018-09-06,14.3792,-7.51,-7531.7,66,trailing_stop
TPL,qvm,2018-07-02,69.1414,2018-10-01,86.242,24.73,24796.75,91,qvm_rebalance
CTAS,qvm,2018-07-02,43.5532,2018-10-01,45.7164,4.97,4979.74,91,qvm_rebalance
EMR,qvm,2018-07-02,57.8939,2018-10-01,65.1601,12.55,12583.36,91,qvm_rebalance
PYPL,qvm,2018-07-02,83.4439,2018-10-01,87.0844,4.36,4374.15,91,qvm_rebalance
MU,qvm,2018-07-02,53.1336,2018-08-15,46.3164,-12.83,-12863.6,44,trailing_stop
META,qvm,2018-10-01,161.1752,2018-11-19,130.5257,-19.02,-20034.33,49,trailing_stop
NVDA,qvm,2018-10-01,7.1663,2018-10-10,6.0847,-15.09,-15899.89,9,trailing_stop
MU,qvm,2018-10-01,44.0342,2018-10-23,37.7241,-14.33,-15097.2,22,trailing_stop
LRCX,crash,2018-12-18,12.5638,2019-02-14,16.517,31.47,31651.97,58,neg_revenue_2q
VRTX,qvm,2019-01-02,164.08,2019-04-01,186.05,13.39,13469.31,89,qvm_rebalance
MU,qvm,2019-01-02,31.9407,2019-05-13,36.4562,14.14,14221.36,131,trailing_stop
META,crash,2019-01-02,134.6236,2022-11-14,113.3306,-15.82,-15910.55,1412,neg_revenue_2q
TPL,crash,2019-01-02,56.3438,2020-08-14,61.6972,9.5,9557.69,590,neg_revenue_2q
ADBE,qvm,2019-01-02,224.57,2019-10-22,261.09,16.26,16358.73,293,trailing_stop
LULU,qvm,2019-01-02,123.35,2020-02-27,220.7,78.92,79390.33,421,trailing_stop
OXY,qvm,2019-04-01,57.8159,2019-05-01,49.468,-14.44,-15176.05,30,trailing_stop
MPWR,qvm,2019-04-01,132.8786,2019-05-13,119.7933,-9.85,-10350.32,42,trailing_stop
GOOG,qvm,2019-04-01,59.2352,2019-06-03,51.3896,-13.24,-13921.07,63,trailing_stop
CTRA,qvm,2019-04-01,19.1074,2019-06-24,17.2174,-9.89,-10396.03,84,trailing_stop
VRTX,qvm,2019-04-01,186.05,2020-03-12,204.06,9.68,10174.45,346,trailing_stop
GOOG,qvm,2019-07-01,54.4505,2020-03-09,60.2831,10.71,10877.12,252,trailing_stop
FTNT,qvm,2019-07-01,15.438,2020-02-27,20.528,32.97,33479.54,241,trailing_stop
ALGN,qvm,2019-07-01,271.68,2019-07-25,200.9,-26.05,-26454.87,24,trailing_stop
CTRA,qvm,2019-07-01,17.0544,2019-07-26,14.2009,-16.73,-16990.13,25,trailing_stop
ALGN,qvm,2019-10-01,182.3,2020-02-03,253.02,38.79,37706.65,125,trailing_stop
ANET,qvm,2019-10-01,14.3969,2019-11-01,11.5813,-19.56,-13108.23,31,trailing_stop
CPRT,qvm,2019-10-01,19.8825,2020-02-26,22.09,11.1,10791.76,148,trailing_stop
ANET,qvm,2020-01-02,12.795,2020-02-27,12.0737,-5.64,-5497.41,56,trailing_stop
ALGN,crash,2020-03-05,230.69,2022-11-14,210.33,-8.83,-9982.86,984,neg_revenue_2q
ISRG,crash,2020-03-27,163.47,2020-11-16,252.73,54.6,62911.95,234,neg_revenue_2q
GOOG,crash,2020-03-31,57.6671,2024-12-30,191.8076,232.61,268007.38,1735,backtest_end
EW,qvm,2020-04-01,57.5433,2020-07-01,69.0,19.91,22939.17,91,qvm_rebalance
GRMN,qvm,2020-04-01,62.6973,2020-07-01,85.8521,36.93,42550.61,91,qvm_rebalance
PYPL,qvm,2020-04-01,90.894,2020-07-01,176.4864,94.17,108496.1,91,qvm_rebalance
LULU,qvm,2020-04-01,183.5,2020-07-01,308.62,68.19,78560.64,91,qvm_rebalance
CPRT,qvm,2020-04-01,16.1975,2020-07-01,21.1475,30.56,35210.44,91,qvm_rebalance
TER,qvm,2020-07-01,81.0477,2020-09-08,73.9201,-8.79,-12663.17,69,trailing_stop
TER,qvm,2020-10-01,79.5671,2021-01-29,111.1638,39.71,57057.07,120,trailing_stop
VRTX,qvm,2021-01-04,229.43,2021-06-11,193.02,-15.87,-23800.32,158,trailing_stop
AMAT,qvm,2021-01-04,83.087,2021-05-12,110.0858,32.49,48732.95,128,trailing_stop
TER,qvm,2021-04-01,126.2715,2021-07-01,126.9297,0.52,811.45,91,qvm_rebalance
PYPL,qvm,2021-04-01,246.2236,2021-09-28,260.7957,5.92,9213.42,180,trailing_stop
WSM,qvm,2021-04-01,82.5147,2021-06-17,70.9582,-14.01,-21803.29,77,trailing_stop
AMAT,qvm,2021-07-01,132.4241,2021-10-01,124.1842,-6.22,-9711.41,92,qvm_rebalance
DGX,qvm,2021-07-01,120.5631,2021-10-01,130.5559,8.29,12936.02,92,qvm_rebalance
TXN,qvm,2021-07-01,166.4014,2021-10-01,169.916,2.11,3296.46,92,qvm_rebalance
MNST,qvm,2021-07-01,45.575,2021-10-01,44.94,-1.39,-2174.58,92,qvm_rebalance
WSM,qvm,2021-07-01,72.8772,2021-12-01,85.537,17.37,27111.93,153,trailing_stop
SWKS,qvm,2021-07-01,165.0598,2021-09-29,145.8913,-11.61,-18124.79,90,trailing_stop
CPRT,qvm,2021-10-01,34.9825,2022-01-03,36.7375,5.02,7806.94,94,qvm_rebalance
REGN,qvm,2021-10-01,566.9597,2022-02-22,598.8445,5.62,8751.56,144,sector_cap_displaced
ULTA,qvm,2021-10-01,368.03,2022-01-03,413.23,12.28,19112.16,94,qvm_rebalance
AMD,qvm,2021-10-01,102.45,2021-12-13,133.8,30.6,47618.98,73,trailing_stop
LULU,qvm,2021-10-01,401.37,2021-12-13,403.75,0.59,922.76,73,trailing_stop
WY,qvm,2021-10-01,29.4069,2022-01-03,33.9794,15.55,24196.47,94,qvm_rebalance
EG,qvm,2022-01-03,252.13,2022-04-01,285.4681,13.22,22252.69,88,qvm_rebalance
KLAC,qvm,2022-01-03,416.4983,2022-01-21,357.0902,-14.26,-24004.79,18,trailing_stop
ODFL,qvm,2022-01-03,169.3564,2022-01-21,145.1241,-14.31,-24080.07,18,trailing_stop
WSM,qvm,2022-01-03,77.3723,2022-01-20,65.6419,-15.16,-25514.77,17,trailing_stop
TER,qvm,2022-01-03,163.2057,2022-01-25,135.8721,-16.75,-28185.62,22,trailing_stop
AMAT,qvm,2022-01-03,154.0528,2022-01-20,134.0365,-12.99,-21866.57,17,trailing_stop
PFE,crash,2022-02-22,38.3517,2023-08-14,30.7616,-19.79,-31032.67,538,neg_revenue_2q
LULU,crash,2022-03-09,305.82,2024-12-30,384.05,25.58,40110.82,1027,backtest_end
CF,qvm,2022-04-01,91.4759,2022-05-09,83.3083,-8.93,-14199.2,38,trailing_stop
TER,qvm,2022-04-01,114.441,2022-04-22,107.3899,-6.16,-9798.33,21,crash_displaced_qvm
ON,qvm,2022-04-01,59.63,2022-04-25,53.48,-10.31,-16401.54,24,crash_displaced_qvm
KLAC,qvm,2022-04-01,345.8072,2022-04-22,311.2619,-9.99,-15886.5,21,crash_displaced_qvm
MRK,qvm,2022-04-01,73.9577,2022-06-21,78.5893,6.26,9959.21,81,crash_displaced_qvm
