final_value,cagr,max_drawdown,sharpe,win_rate
2789430.3171624043,0.22773066502986739,-0.09370593052582722,1.779710787098309,0.5637583892617449
4492280.935249425,0.3504962469408017,-0.05009855631218498,2.381565090248845,0.610738255033557
2285381.504387195,0.1797547691802892,-0.09248102116701343,1.4716873788021523,0.4966442953020134
2113903.010948096,0.16149410908527106,-0.06223840508849053,1.4818985318847935,0.4966442953020134
2092353.9952741498,0.15911635180030004,-0.08654175203122126,1.3917298754444714,0.5033557046979866
3033239.032156544,0.24847924570352742,-0.05287602862577506,2.071401861074436,0.5906040268456376
2588198.315255438,0.20948228026117466,-0.0917923331304672,1.6315403481197444,0.5167785234899329
2073260.8256960707,0.1569931517105494,-0.07014056165141014,1.4504693427731818,0.5167785234899329
3560476.3425940378,0.28914456178028347,-0.09632462671783236,2.1489992634371706,0.5771812080536913
3326912.835093312,0.27176914604503444,-0.08009576213157896,2.0300449975190435,0.5704697986577181
2720719.6019798317,0.22162175206633705,-0.062405971801552655,1.8030589950390206,0.5503355704697986
1841801.4731677144,0.12992225653555378,-0.10514320212408305,1.186651191907408,0.5234899328859061
1609632.9114069885,0.09988016122921883,-0.1193794376345229,0.9805392383233182,0.4966442953020134
3770115.084489467,0.3039799732856576,-0.07072070769496681,2.056586787679993,0.5503355704697986
1784248.1183726655,0.12277064517396741,-0.08570072657592784,1.1629461938231969,0.4899328859060403
2130468.674295911,0.16330884604486262,-0.0992773749292526,1.5568836022686259,0.5436241610738255
3224973.0126397205,0.263878182413922,-0.07325635588368525,1.9530564142739097,0.5570469798657718
3778246.608551048,0.3045419831042915,-0.07471135069916351,2.323402855722926,0.5973154362416108
6171802.849927876,0.4390716213328383,-0.02925935937024008,2.773888647649854,0.6510067114093959
3692262.5078248708,0.29854951412646846,-0.07520342019322097,2.1354623059944022,0.5503355704697986
2577578.248352866,0.20848808156034426,-0.09671302497204079,1.7925173722798156,0.5302013422818792
2489145.0674980693,0.20007956771708746,-0.054868660916264723,1.7989428018718618,0.5637583892617449
2364483.6771067213,0.18781078450391786,-0.06635227865009455,1.696573821096717,0.5906040268456376
2744308.002804074,0.22373271469529565,-0.07346976767821407,1.7989548062333134,0.5369127516778524
3158611.8514390304,0.25863339941068486,-0.07031554001231127,1.984772924586074,0.5637583892617449
2639926.871755841,0.21427870653613668,-0.05876484850881902,1.7560729791794,0.5503355704697986
2375906.807632249,0.18895626696134582,-0.08635764484815786,1.6421434088245903,0.5302013422818792
3996521.8709836355,0.3192783599806872,-0.11205727530180194,2.334520226608536,0.5973154362416108
2110858.991312719,0.1611594060143331,-0.06861520324391408,1.4527488957868515,0.5369127516778524
3849845.3986318395,0.30944920979237645,-0.06655657885499025,2.314221722708154,0.6040268456375839
3684697.3427687017,0.29801695163727504,-0.07648373273023332,2.007525191150084,0.5973154362416108
4770558.313035479,0.3668279208693044,-0.0555058089565097,2.810269863526094,0.6442953020134228
2505086.7782796994,0.20161282494373722,-0.09414708179395627,1.6528372552693251,0.5234899328859061
2342238.2821911154,0.18556730758717532,-0.05972940650273433,1.709199453841293,0.5503355704697986
3622673.5494999783,0.2936173748272102,-0.10073713837822706,2.2866740241113295,0.5704697986577181
2808631.194184013,0.22941623253999555,-0.06749115379990593,1.7744490456584576,0.5436241610738255
1893499.9692622544,0.13619548848188523,-0.06460064950038215,1.4287100401393633,0.5436241610738255
5483091.632504936,0.40541667081693467,-0.06050191630365625,2.7412864201225533,0.6442953020134228
2806827.5477238037,0.2292582906887295,-0.105802602827146,1.6089987238632253,0.4966442953020134
2523857.566814745,0.2034082054192201,-0.08988884734778922,1.9574411860682055,0.5503355704697986
2891709.611156299,0.23660482212200407,-0.06680663237469703,1.817684502105583,0.5369127516778524
3066892.9020693726,0.25123741420083223,-0.07804019702100551,1.8923974922798157,0.5637583892617449
1998817.357435245,0.14856247289637325,-0.08687754744659584,1.2723407516704945,0.4899328859060403
3059819.4463986075,0.25065971232879214,-0.06557296352207702,2.0306204250442463,0.5973154362416108
3350520.0816456885,0.2735688994497507,-0.05014813007294254,2.020282861628199,0.5167785234899329
3768668.722636787,0.3038799065059703,-0.07567774404005315,2.1662855791620115,0.6040268456375839
3732378.4262674595,0.3013590424225314,-0.07513499469073474,1.972006627758556,0.5436241610738255
1728125.9269279987,0.11561688099652523,-0.08121122097824245,1.2004219598927965,0.5033557046979866
2671471.5098412377,0.2171668324031677,-0.05604424280411589,1.6867457651527504,0.5100671140939598
3296609.9365719296,0.2694438989079868,-0.075687783594974,2.108807694651481,0.6040268456375839
2893673.631965585,0.2367727544785887,-0.07801727496336819,1.9744464050186272,0.5973154362416108
3311421.2485452816,0.27058254924337977,-0.083945964617267,2.224194928596853,0.5838926174496645
2388509.448773816,0.19021492725866262,-0.07175614202097634,1.6210029253940363,0.5369127516778524
3155945.022486397,0.25842079372782356,-0.05708423543269783,1.935727355057282,0.5771812080536913
4052896.5604005503,0.3229794671780466,-0.04722081820586409,2.204945269206872,0.5436241610738255
2691433.5856868713,0.21898043048775806,-0.08610011982671861,1.7683688185733393,0.5234899328859061
3649964.668488147,0.2955606003941029,-0.05513881270068253,2.171813185374067,0.6241610738255033
2222618.9646648946,0.17320256315756866,-0.08479518159935932,1.445270508291681,0.5033557046979866
3090451.056538407,0.25315379606126087,-0.08849177707446301,1.9014782069701317,0.5570469798657718
2002423.6047504365,0.14897661922820138,-0.1115360531980533,1.3733000234660777,0.4899328859060403
3220802.9796622973,0.2635511631336003,-0.061222778162962746,2.191751798976956,0.6308724832214765
4131581.299890186,0.3280770155429109,-0.07259594178691704,2.1349033946078566,0.5503355704697986
4425334.043795272,0.34644684106409795,-0.06285823574238092,2.2736585469319697,0.5570469798657718
3660845.552335833,0.2963321182630194,-0.062463466388644855,2.142367379794652,0.5570469798657718
2481514.2571644806,0.19934286258047718,-0.06899998495918498,1.6074546555699356,0.5234899328859061
4011071.3544958644,0.32023754041262187,-0.09166238892296136,2.2232613914770867,0.5369127516778524
2018638.1870278858,0.15083138406686358,-0.12097855498005887,1.2372956053071678,0.46308724832214765
3220037.405539411,0.2634910890423714,-0.11194879895166777,1.872319360106803,0.5503355704697986
3534706.1093153576,0.28727300562316493,-0.059131704460876684,2.196371423083496,0.5704697986577181
2076365.529938101,0.15733946335206928,-0.06509139774212923,1.53795915342174,0.5302013422818792
3164230.820877112,0.25908088684431774,-0.07946851359826757,1.9903033220571171,0.5503355704697986
1794287.008809556,0.12403124226085849,-0.0839307113854566,1.1518877917095272,0.47651006711409394
2139248.362905927,0.16426607156894302,-0.08803384819831883,1.461035056757773,0.5302013422818792
